year,PRUID,province,race,sex,province_sex,population,arrested,race_percent_population,race_percent_arrested,race_disparity_index
2016,60,YU,White,Both,YU,"34,325",4,0.74,0.57,-0.227551764
2016,62,NU,White,Both,NU,"10,130",0,0.24,0.00,-1
2016,99,National,Aboriginal,Both,National,"2,130,520","4,981",0.05,0.22,3.334067045
2016,59,BC,Aboriginal,Both,BC,"302,810",910,0.05,0.27,4.017074763
2016,48,AB,Aboriginal,Both,AB,"303,815",996,0.06,0.32,4.057298866
2016,47,SK,Aboriginal,Both,SK,"177,355",872,0.14,0.61,3.428393434
2016,46,MB,Aboriginal,Both,MB,"225,230",619,0.15,0.55,2.747191563
2016,35,ON,Aboriginal,Both,ON,"518,300",682,0.03,0.12,2.817844414
2016,24,QC,Aboriginal,Both,QC,"359,430",628,0.04,0.11,1.890491732
2016,13,NB,Aboriginal,Both,NB,"46,585",156,0.05,0.12,1.457560102
2016,10,NL,Aboriginal,Both,NL,"58,550",12,0.09,0.11,0.129938424
2016,11,PE,Aboriginal,Both,PE,"4,960",0,0.03,0.00,-1
2016,12,NS,Aboriginal,Both,NS,"74,040",89,0.06,0.10,0.654884868
2016,61,NW,Aboriginal,Both,NW,"20,720",10,0.40,1.00,1.483832046
2016,60,YU,Aboriginal,Both,YU,"8,320",3,0.18,0.43,1.39010989
2016,62,NU,Aboriginal,Both,NU,"30,420",4,0.72,1.00,0.397107166
2016,99,National,Other Minority,Both,National,"6,855,345","1,978",0.16,0.09,-0.465113459
2016,59,BC,Other Minority,Both,BC,"1,423,490",419,0.25,0.13,-0.508595651
2016,48,AB,Other Minority,Both,AB,"850,240",306,0.17,0.10,-0.444801369
2016,47,SK,Other Minority,Both,SK,"107,250",101,0.08,0.07,-0.151802042
2016,46,MB,Other Minority,Both,MB,"203,295",93,0.13,0.08,-0.376268418
2016,35,ON,Other Minority,Both,ON,"3,443,340",640,0.21,0.11,-0.460718991
2016,24,QC,Other Minority,Both,QC,"733,675",329,0.08,0.06,-0.258145752
2016,13,NB,Other Minority,Both,NB,"22,015",47,0.02,0.04,0.566768449
2016,10,NL,Other Minority,Both,NL,11260,3,0.02,0.03,0.468869777
2016,11,PE,Other Minority,Both,PE,6995,0,0.04,0.00,-1
2016,12,NS,Other Minority,Both,NS,"46,450",40,0.04,0.05,0.185546141
2016,61,NW,Other Minority,Both,NW,3415,0,0.07,0.00,-1
2016,60,YU,Other Minority,Both,YU,3240,0,0.07,0.00,-1
2016,62,NU,Other Minority,Both,NU,695,0,0.02,0.00,-1
